date,hr_of_day,vals
6/22/2014,14,1094
6/22/2014,15,1047
6/22/2014,16,1174
6/22/2014,17,1099
6/22/2014,18,696
6/22/2014,19,434
6/22/2014,20,221
6/22/2014,21,103
6/22/2014,22,58
6/22/2014,23,36
6/23/2014,0,60
6/23/2014,1,135
6/23/2014,2,260
6/23/2014,3,400
6/23/2014,4,657
6/23/2014,5,998
6/23/2014,6,1165
6/23/2014,7,1157
6/23/2014,8,1297
6/23/2014,9,1255
6/23/2014,10,1210
6/23/2014,11,1242
6/23/2014,12,1115
6/23/2014,13,1009
6/23/2014,14,976
6/23/2014,15,1080
6/23/2014,16,1008
6/23/2014,17,1044
6/23/2014,18,770
6/23/2014,19,376
6/23/2014,20,201
6/23/2014,21,109
6/23/2014,22,67
6/23/2014,23,49
6/24/2014,0,69
6/24/2014,1,151
6/24/2014,2,271
6/24/2014,3,403
6/24/2014,4,735
6/24/2014,5,977
6/24/2014,6,1124
6/24/2014,7,1143
6/24/2014,8,1195
6/24/2014,9,1176
6/24/2014,10,1120
6/24/2014,11,1142
6/24/2014,12,1045
6/24/2014,13,919
6/24/2014,14,951
6/24/2014,15,990
6/24/2014,16,1056
6/24/2014,17,1040
6/24/2014,18,820
6/24/2014,19,456
6/24/2014,20,227
6/24/2014,21,112
6/24/2014,22,67
6/24/2014,23,53
6/25/2014,0,81
6/25/2014,1,137
6/25/2014,2,285
6/25/2014,3,445
6/25/2014,4,719
6/25/2014,5,939
6/25/2014,6,1128
6/25/2014,7,1156
6/25/2014,8,1059
6/25/2014,9,1259
6/25/2014,10,1167
6/25/2014,11,1166
6/25/2014,12,1111
6/25/2014,13,998
6/25/2014,14,1060
6/25/2014,15,1065
6/25/2014,16,1138
6/25/2014,17,1102
6/25/2014,18,867
6/25/2014,19,517
6/25/2014,20,260
6/25/2014,21,131
6/25/2014,22,77
6/25/2014,23,50
6/26/2014,0,89
6/26/2014,1,181
6/26/2014,2,326
6/26/2014,3,517
6/26/2014,4,834
6/26/2014,5,1102
6/26/2014,6,1375
6/26/2014,7,1283
6/26/2014,8,1243
6/26/2014,9,1306
6/26/2014,10,1452
6/26/2014,11,1373
6/26/2014,12,1395
6/26/2014,13,1312
6/26/2014,14,1313
6/26/2014,15,1330
6/26/2014,16,1392
6/26/2014,17,1242
6/26/2014,18,1063
6/26/2014,19,600
6/26/2014,20,322
6/26/2014,21,169
6/26/2014,22,96
6/26/2014,23,54
6/27/2014,0,91
6/27/2014,1,183
6/27/2014,2,322
6/27/2014,3,422
6/27/2014,4,861
6/27/2014,5,1131
6/27/2014,6,1289
6/27/2014,7,1076
6/27/2014,8,1045
6/27/2014,9,1148
6/27/2014,10,1073
6/27/2014,11,1181
6/27/2014,12,1098
6/27/2014,13,1225
6/27/2014,14,1093
6/27/2014,15,1318
6/27/2014,16,1610
6/27/2014,17,1645
6/27/2014,18,1239
6/27/2014,19,722
6/27/2014,20,406
6/27/2014,21,181
6/27/2014,22,104
6/27/2014,23,69
6/28/2014,0,115
6/28/2014,1,239
6/28/2014,2,428
6/28/2014,3,698
6/28/2014,4,1063
6/28/2014,5,1680
6/28/2014,6,2009
6/28/2014,7,2153
6/28/2014,8,1849
6/28/2014,9,1773
6/28/2014,10,1761
6/28/2014,11,1698
6/28/2014,12,1417
6/28/2014,13,1149
6/28/2014,14,1450
6/28/2014,15,1533
6/28/2014,16,1699
6/28/2014,17,1702
6/28/2014,18,1222
6/28/2014,19,782
6/28/2014,20,449
6/28/2014,21,170
6/28/2014,22,103
6/28/2014,23,79
6/29/2014,0,90
6/29/2014,1,142
6/29/2014,2,367
6/29/2014,3,512
6/29/2014,4,888
6/29/2014,5,1481
6/29/2014,6,1768
6/29/2014,7,1824
6/29/2014,8,1505
6/29/2014,9,1473
6/29/2014,10,1421
6/29/2014,11,1409
6/29/2014,12,1304
6/29/2014,13,1369
6/29/2014,14,927
6/29/2014,15,1065
6/29/2014,16,1260
6/29/2014,17,1428
6/29/2014,18,1082
6/29/2014,19,595
6/29/2014,20,248
6/29/2014,21,130
6/29/2014,22,86
6/29/2014,23,51
6/30/2014,0,100
6/30/2014,1,161
6/30/2014,2,289
6/30/2014,3,515
6/30/2014,4,735
6/30/2014,5,1074
6/30/2014,6,1399
6/30/2014,7,1561
6/30/2014,8,1631
6/30/2014,9,1894
6/30/2014,10,1866
6/30/2014,11,1828
6/30/2014,12,1611
6/30/2014,13,1393
6/30/2014,14,1625
6/30/2014,15,1570
6/30/2014,16,1776
6/30/2014,17,1946
6/30/2014,18,1149
6/30/2014,19,378
6/30/2014,20,204
6/30/2014,21,82
6/30/2014,22,70
6/30/2014,23,53
7/1/2014,0,63
7/1/2014,1,128
7/1/2014,2,261
7/1/2014,3,414
7/1/2014,4,584
7/1/2014,5,815
7/1/2014,6,997
7/1/2014,7,1035
7/1/2014,8,982
7/1/2014,9,1138
7/1/2014,10,964
7/1/2014,11,993
7/1/2014,12,943
7/1/2014,13,818
7/1/2014,14,840
7/1/2014,15,948
7/1/2014,16,991
7/1/2014,17,942
7/1/2014,18,607
7/1/2014,19,395
7/1/2014,20,179
7/1/2014,21,101
7/1/2014,22,49
7/1/2014,23,30
7/2/2014,0,71
7/2/2014,1,138
7/2/2014,2,250
7/2/2014,3,389
7/2/2014,4,619
7/2/2014,5,799
7/2/2014,6,980
7/2/2014,7,1056
7/2/2014,8,1006
7/2/2014,9,1060
7/2/2014,10,1064
7/2/2014,11,1001
7/2/2014,12,941
7/2/2014,13,906
7/2/2014,14,845
7/2/2014,15,881
7/2/2014,16,909
7/2/2014,17,953
7/2/2014,18,668
7/2/2014,19,353
7/2/2014,20,194
7/2/2014,21,113
7/2/2014,22,72
7/2/2014,23,65
7/3/2014,0,72
7/3/2014,1,133
7/3/2014,2,302
7/3/2014,3,405
7/3/2014,4,602
7/3/2014,5,810
7/3/2014,6,991
7/3/2014,7,996
7/3/2014,8,950
7/3/2014,9,1028
7/3/2014,10,1082
7/3/2014,11,1084
7/3/2014,12,928
7/3/2014,13,904
7/3/2014,14,918
7/3/2014,15,870
7/3/2014,16,917
7/3/2014,17,934
7/3/2014,18,634
7/3/2014,19,394
7/3/2014,20,197
7/3/2014,21,85
7/3/2014,22,49
7/3/2014,23,54
7/4/2014,0,73
7/4/2014,1,127
7/4/2014,2,239
7/4/2014,3,390
7/4/2014,4,621
7/4/2014,5,707
7/4/2014,6,978
7/4/2014,7,927
7/4/2014,8,898
7/4/2014,9,1002
7/4/2014,10,984
7/4/2014,11,1059
7/4/2014,12,890
7/4/2014,13,769
7/4/2014,14,862
7/4/2014,15,923
7/4/2014,16,879
7/4/2014,17,896
7/4/2014,18,748
7/4/2014,19,441
7/4/2014,20,211
7/4/2014,21,121
7/4/2014,22,72
7/4/2014,23,54
7/5/2014,0,67
7/5/2014,1,121
7/5/2014,2,266
7/5/2014,3,429
7/5/2014,4,629
7/5/2014,5,930
7/5/2014,6,1052
7/5/2014,7,1119
7/5/2014,8,1071
7/5/2014,9,1133
7/5/2014,10,985
7/5/2014,11,1033
7/5/2014,12,902
7/5/2014,13,833
7/5/2014,14,861
7/5/2014,15,893
7/5/2014,16,908
7/5/2014,17,918
7/5/2014,18,634
7/5/2014,19,461
7/5/2014,20,238
7/5/2014,21,140
7/5/2014,22,68
7/5/2014,23,55
7/6/2014,0,66
7/6/2014,1,141
7/6/2014,2,224
7/6/2014,3,411
7/6/2014,4,563
7/6/2014,5,804
7/6/2014,6,946
7/6/2014,7,348
7/6/2014,8,366
7/6/2014,9,678
7/6/2014,10,1108
7/6/2014,11,965
7/6/2014,12,941
7/6/2014,13,962
7/6/2014,14,998
7/6/2014,15,1090
7/6/2014,16,1073
7/6/2014,17,1007
7/6/2014,18,688
7/6/2014,19,397
7/6/2014,20,228
7/6/2014,21,103
7/6/2014,22,50
7/6/2014,23,44
7/7/2014,0,67
7/7/2014,1,127
7/7/2014,2,258
7/7/2014,3,343
7/7/2014,4,612
7/7/2014,5,893
7/7/2014,6,1087
7/7/2014,7,1081
7/7/2014,8,1035
7/7/2014,9,1180
7/7/2014,10,1213
7/7/2014,11,1125
7/7/2014,12,1043
7/7/2014,13,965
7/7/2014,14,955
7/7/2014,15,1012
7/7/2014,16,1027
7/7/2014,17,1109
7/7/2014,18,831
7/7/2014,19,465
7/7/2014,20,224
7/7/2014,21,132
7/7/2014,22,75
7/7/2014,23,74
7/8/2014,0,70
7/8/2014,1,140
7/8/2014,2,324
7/8/2014,3,465
7/8/2014,4,733
7/8/2014,5,1023
7/8/2014,6,1182
7/8/2014,7,1138
7/8/2014,8,1113
7/8/2014,9,1211
7/8/2014,10,1190
7/8/2014,11,1141
7/8/2014,12,1039
7/8/2014,13,940
7/8/2014,14,977
7/8/2014,15,949
7/8/2014,16,1047
7/8/2014,17,1069
7/8/2014,18,740
7/8/2014,19,419
7/8/2014,20,181
7/8/2014,21,116
7/8/2014,22,74
7/8/2014,23,74
7/9/2014,0,70
7/9/2014,1,152
7/9/2014,2,275
7/9/2014,3,410
7/9/2014,4,627
7/9/2014,5,835
7/9/2014,6,1002
7/9/2014,7,906
7/9/2014,8,874
7/9/2014,9,938
7/9/2014,10,1005
7/9/2014,11,1009
7/9/2014,12,926
7/9/2014,13,853
7/9/2014,14,769
7/9/2014,15,873
7/9/2014,16,876
7/9/2014,17,896
7/9/2014,18,689
7/9/2014,19,365
7/9/2014,20,201
7/9/2014,21,117
7/9/2014,22,73
7/9/2014,23,74
7/10/2014,0,77
7/10/2014,1,101
7/10/2014,2,217
7/10/2014,3,373
7/10/2014,4,518
7/10/2014,5,572
7/10/2014,6,885
7/10/2014,7,894
7/10/2014,8,865
7/10/2014,9,977
7/10/2014,10,1017
7/10/2014,11,1041
7/10/2014,12,907
7/10/2014,13,816
7/10/2014,14,787
7/10/2014,15,861
7/10/2014,16,859
7/10/2014,17,897
7/10/2014,18,659
7/10/2014,19,380
7/10/2014,20,214
7/10/2014,21,109
7/10/2014,22,64
7/10/2014,23,65
7/11/2014,0,83
7/11/2014,1,150
7/11/2014,2,254
7/11/2014,3,351
7/11/2014,4,588
7/11/2014,5,815
7/11/2014,6,1035
7/11/2014,7,1040
7/11/2014,8,917
7/11/2014,9,958
7/11/2014,10,960
7/11/2014,11,1053
7/11/2014,12,880
7/11/2014,13,815
7/11/2014,14,757
7/11/2014,15,801
7/11/2014,16,862
7/11/2014,17,877
7/11/2014,18,580
7/11/2014,19,358
7/11/2014,20,204
7/11/2014,21,114
7/11/2014,22,66
7/11/2014,23,55
7/12/2014,0,77
7/12/2014,1,109
7/12/2014,2,232
7/12/2014,3,350
7/12/2014,4,555
7/12/2014,5,748
7/12/2014,6,949
7/12/2014,7,1025
7/12/2014,8,964
7/12/2014,9,951
7/12/2014,10,950
7/12/2014,11,902
7/12/2014,12,818
7/12/2014,13,756
7/12/2014,14,820
7/12/2014,15,721
7/12/2014,16,710
7/12/2014,17,654
7/12/2014,18,602
7/12/2014,19,409
7/12/2014,20,201
7/12/2014,21,157
7/12/2014,22,64
7/12/2014,23,41
7/13/2014,0,49
7/13/2014,1,88
7/13/2014,2,180
7/13/2014,3,315
7/13/2014,4,521
7/13/2014,5,713
7/13/2014,6,971
7/13/2014,7,947
7/13/2014,8,844
7/13/2014,9,857
7/13/2014,10,829
7/13/2014,11,769
7/13/2014,12,845
7/13/2014,13,931
7/13/2014,14,1171
7/13/2014,15,1311
7/13/2014,16,1220
7/13/2014,17,1149
7/13/2014,18,741
7/13/2014,19,402
7/13/2014,20,198
7/13/2014,21,108
7/13/2014,22,108
7/13/2014,23,60
7/14/2014,0,65
7/14/2014,1,130
7/14/2014,2,235
7/14/2014,3,382
7/14/2014,4,602
7/14/2014,5,882
7/14/2014,6,1144
7/14/2014,7,1169
7/14/2014,8,1111
7/14/2014,9,1245
7/14/2014,10,1264
7/14/2014,11,1265
7/14/2014,12,1091
7/14/2014,13,1018
7/14/2014,14,1100
7/14/2014,15,1085
7/14/2014,16,1186
7/14/2014,17,1107
7/14/2014,18,748
7/14/2014,19,435
7/14/2014,20,245
7/14/2014,21,135
7/14/2014,22,71
7/14/2014,23,62
7/15/2014,0,73
7/15/2014,1,148
7/15/2014,2,266
7/15/2014,3,406
7/15/2014,4,655
7/15/2014,5,943
7/15/2014,6,1044
7/15/2014,7,1051
7/15/2014,8,1000
7/15/2014,9,1057
7/15/2014,10,1103
7/15/2014,11,1151
7/15/2014,12,997
7/15/2014,13,899
7/15/2014,14,1005
7/15/2014,15,1059
7/15/2014,16,1126
7/15/2014,17,1088
7/15/2014,18,765
7/15/2014,19,444
7/15/2014,20,235
7/15/2014,21,122
7/15/2014,22,53
7/15/2014,23,49
7/16/2014,0,87
7/16/2014,1,115
7/16/2014,2,234
7/16/2014,3,408
7/16/2014,4,680
7/16/2014,5,829
7/16/2014,6,989
7/16/2014,7,963
7/16/2014,8,1055
7/16/2014,9,1155
7/16/2014,10,1087
7/16/2014,11,1039
7/16/2014,12,964
7/16/2014,13,873
7/16/2014,14,954
7/16/2014,15,985
7/16/2014,16,1066
7/16/2014,17,1082
7/16/2014,18,910
7/16/2014,19,517
7/16/2014,20,301
7/16/2014,21,129
7/16/2014,22,85
7/16/2014,23,75
7/17/2014,0,72
7/17/2014,1,156
7/17/2014,2,329
7/17/2014,3,472
7/17/2014,4,727
7/17/2014,5,1047
7/17/2014,6,1172
7/17/2014,7,1125
7/17/2014,8,1179
7/17/2014,9,1172
7/17/2014,10,1239
7/17/2014,11,1216
7/17/2014,12,1106
7/17/2014,13,962
7/17/2014,14,1022
7/17/2014,15,972
7/17/2014,16,968
7/17/2014,17,1059
7/17/2014,18,832
7/17/2014,19,479
7/17/2014,20,238
7/17/2014,21,131
7/17/2014,22,92
7/17/2014,23,92
7/18/2014,0,92
7/18/2014,1,120
7/18/2014,2,291
7/18/2014,3,433
7/18/2014,4,896
7/18/2014,5,1185
7/18/2014,6,783
7/18/2014,7,231
7/18/2014,8,230
7/18/2014,9,1075
7/18/2014,10,1081
7/18/2014,11,1139
7/18/2014,12,1491
7/18/2014,13,1336
7/18/2014,14,1220
7/18/2014,15,1261
7/18/2014,16,1283
7/18/2014,17,1266
7/18/2014,18,948
7/18/2014,19,585
7/18/2014,20,303
7/18/2014,21,193
7/18/2014,22,94
7/18/2014,23,85
7/19/2014,0,92
7/19/2014,1,151
7/19/2014,2,315
7/19/2014,3,491
7/19/2014,4,742
7/19/2014,5,1092
7/19/2014,6,1286
7/19/2014,7,1364
7/19/2014,8,1270
7/19/2014,9,1227
7/19/2014,10,1257
7/19/2014,11,1124
7/19/2014,12,1134
7/19/2014,13,1068
7/19/2014,14,1099
7/19/2014,15,1086
7/19/2014,16,1027
7/19/2014,17,1056
7/19/2014,18,756
7/19/2014,19,484
7/19/2014,20,273
7/19/2014,21,133
7/19/2014,22,62
7/19/2014,23,63
7/20/2014,0,61
7/20/2014,1,116
7/20/2014,2,232
7/20/2014,3,391
7/20/2014,4,608
7/20/2014,5,890
7/20/2014,6,1086
7/20/2014,7,1190
7/20/2014,8,1070
7/20/2014,9,1006
7/20/2014,10,981
7/20/2014,11,916
7/20/2014,12,945
7/20/2014,13,935
7/20/2014,14,1053
7/20/2014,15,1056
7/20/2014,16,1087
7/20/2014,17,1037
7/20/2014,18,814
7/20/2014,19,354
7/20/2014,20,160
7/20/2014,21,78
7/20/2014,22,48
7/20/2014,23,43
7/21/2014,0,53
7/21/2014,1,102
7/21/2014,2,201
7/21/2014,3,368
7/21/2014,4,562
7/21/2014,5,793
7/21/2014,6,1013
7/21/2014,7,1124
7/21/2014,8,1047
7/21/2014,9,1154
7/21/2014,10,1194
7/21/2014,11,1027
7/21/2014,12,956
7/21/2014,13,914
7/21/2014,14,966
7/21/2014,15,1001
7/21/2014,16,1211
7/21/2014,17,1148
7/21/2014,18,866
7/21/2014,19,490
7/21/2014,20,236
7/21/2014,21,111
7/21/2014,22,82
7/21/2014,23,70
7/22/2014,0,79
7/22/2014,1,156
7/22/2014,2,324
7/22/2014,3,481
7/22/2014,4,743
7/22/2014,5,898
7/22/2014,6,1034
7/22/2014,7,1146
7/22/2014,8,1129
7/22/2014,9,1116
7/22/2014,10,1148
7/22/2014,11,1016
7/22/2014,12,1042
7/22/2014,13,1000
7/22/2014,14,1043
7/22/2014,15,1079
7/22/2014,16,1105
7/22/2014,17,1139
7/22/2014,18,873
7/22/2014,19,390
7/22/2014,20,222
7/22/2014,21,108
7/22/2014,22,76
7/22/2014,23,70
7/23/2014,0,87
7/23/2014,1,165
7/23/2014,2,231
7/23/2014,3,449
7/23/2014,4,637
7/23/2014,5,889
7/23/2014,6,1079
7/23/2014,7,1048
7/23/2014,8,1011
7/23/2014,9,1074
7/23/2014,10,1076
7/23/2014,11,1155
7/23/2014,12,1050
7/23/2014,13,927
7/23/2014,14,994
7/23/2014,15,1033
7/23/2014,16,1007
7/23/2014,17,1137
7/23/2014,18,858
7/23/2014,19,457
7/23/2014,20,238
7/23/2014,21,98
7/23/2014,22,83
7/23/2014,23,87
7/24/2014,0,86
7/24/2014,1,158
7/24/2014,2,289
7/24/2014,3,409
7/24/2014,4,636
7/24/2014,5,914
7/24/2014,6,1103
7/24/2014,7,1068
7/24/2014,8,993
7/24/2014,9,1063
7/24/2014,10,1054
7/24/2014,11,1048
7/24/2014,12,923
7/24/2014,13,883
7/24/2014,14,972
7/24/2014,15,982
7/24/2014,16,1034
7/24/2014,17,989
7/24/2014,18,764
7/24/2014,19,423
7/24/2014,20,185
7/24/2014,21,135
7/24/2014,22,67
7/24/2014,23,56
7/25/2014,0,99
7/25/2014,1,147
7/25/2014,2,289
7/25/2014,3,391
7/25/2014,4,545
7/25/2014,5,750
7/25/2014,6,858
7/25/2014,7,870
7/25/2014,8,811
7/25/2014,9,890
7/25/2014,10,859
7/25/2014,11,967
7/25/2014,12,860
7/25/2014,13,814
7/25/2014,14,844
7/25/2014,15,776
7/25/2014,16,870
7/25/2014,17,817
7/25/2014,18,628
7/25/2014,19,404
7/25/2014,20,237
7/25/2014,21,120
7/25/2014,22,72
7/25/2014,23,45
7/26/2014,0,62
7/26/2014,1,117
7/26/2014,2,256
7/26/2014,3,391
7/26/2014,4,752
7/26/2014,5,944
7/26/2014,6,1126
7/26/2014,7,1079
7/26/2014,8,1065
7/26/2014,9,896
7/26/2014,10,960
7/26/2014,11,887
7/26/2014,12,894
7/26/2014,13,785
7/26/2014,14,844
7/26/2014,15,898
7/26/2014,16,851
7/26/2014,17,820
7/26/2014,18,678
7/26/2014,19,371
7/26/2014,20,237
7/26/2014,21,120
7/26/2014,22,61
7/26/2014,23,60
7/27/2014,0,46
7/27/2014,1,107
7/27/2014,2,210
7/27/2014,3,363
7/27/2014,4,561
7/27/2014,5,762
7/27/2014,6,888
7/27/2014,7,1064
7/27/2014,8,918
7/27/2014,9,840
7/27/2014,10,838
7/27/2014,11,870
7/27/2014,12,801
7/27/2014,13,903
7/27/2014,14,960
7/27/2014,15,966
7/27/2014,16,944
7/27/2014,17,919
7/27/2014,18,683
7/27/2014,19,350
7/27/2014,20,191
7/27/2014,21,116
7/27/2014,22,55
7/27/2014,23,41
7/28/2014,0,55
7/28/2014,1,134
7/28/2014,2,191
7/28/2014,3,329
7/28/2014,4,613
7/28/2014,5,812
7/28/2014,6,979
7/28/2014,7,1076
7/28/2014,8,992
7/28/2014,9,1103
7/28/2014,10,1141
7/28/2014,11,1050
7/28/2014,12,875
7/28/2014,13,849
7/28/2014,14,872
7/28/2014,15,825
7/28/2014,16,1037
7/28/2014,17,941
7/28/2014,18,732
7/28/2014,19,436
7/28/2014,20,261
7/28/2014,21,108
7/28/2014,22,63
7/28/2014,23,44
7/29/2014,0,56
7/29/2014,1,155
7/29/2014,2,251
7/29/2014,3,501
7/29/2014,4,735
7/29/2014,5,935
7/29/2014,6,1181
7/29/2014,7,1265
7/29/2014,8,1177
7/29/2014,9,1139
7/29/2014,10,1147
7/29/2014,11,1041
7/29/2014,12,1025
7/29/2014,13,1008
7/29/2014,14,1014
7/29/2014,15,1006
7/29/2014,16,1079
7/29/2014,17,950
7/29/2014,18,740
7/29/2014,19,414
7/29/2014,20,194
7/29/2014,21,121
7/29/2014,22,73
7/29/2014,23,48
7/30/2014,0,63
7/30/2014,1,125
7/30/2014,2,247
7/30/2014,3,406
7/30/2014,4,610
7/30/2014,5,850
7/30/2014,6,987
7/30/2014,7,1046
7/30/2014,8,999
7/30/2014,9,1055
7/30/2014,10,1137
7/30/2014,11,1067
7/30/2014,12,951
7/30/2014,13,935
7/30/2014,14,921
7/30/2014,15,951
7/30/2014,16,1103
7/30/2014,17,1156
7/30/2014,18,839
7/30/2014,19,447
7/30/2014,20,243
7/30/2014,21,141
7/30/2014,22,74
7/30/2014,23,42
7/31/2014,0,63
7/31/2014,1,148
7/31/2014,2,284
7/31/2014,3,406
7/31/2014,4,612
7/31/2014,5,900
7/31/2014,6,1063
7/31/2014,7,1043
7/31/2014,8,1082
7/31/2014,9,1176
7/31/2014,10,1239
7/31/2014,11,1020
7/31/2014,12,1040
7/31/2014,13,1009
7/31/2014,14,1050
7/31/2014,15,1171
7/31/2014,16,1155
7/31/2014,17,1125
7/31/2014,18,899
7/31/2014,19,502
7/31/2014,20,268
7/31/2014,21,100
7/31/2014,22,53
7/31/2014,23,52
8/1/2014,0,86
8/1/2014,1,132
8/1/2014,2,256
8/1/2014,3,393
8/1/2014,4,649
8/1/2014,5,877
8/1/2014,6,1037
8/1/2014,7,1027
8/1/2014,8,984
8/1/2014,9,1057
8/1/2014,10,1023
8/1/2014,11,1058
8/1/2014,12,936
8/1/2014,13,871
8/1/2014,14,903
8/1/2014,15,924
8/1/2014,16,1053
8/1/2014,17,1056
8/1/2014,18,854
8/1/2014,19,533
8/1/2014,20,329
8/1/2014,21,199
8/1/2014,22,118
8/1/2014,23,95
8/2/2014,0,82
8/2/2014,1,191
8/2/2014,2,371
8/2/2014,3,534
8/2/2014,4,784
8/2/2014,5,1107
8/2/2014,6,1356
8/2/2014,7,1355
8/2/2014,8,1372
8/2/2014,9,1315
8/2/2014,10,1310
8/2/2014,11,1261
8/2/2014,12,1308
8/2/2014,13,1177
8/2/2014,14,1152
8/2/2014,15,1164
8/2/2014,16,1227
8/2/2014,17,1214
8/2/2014,18,1040
8/2/2014,19,634
8/2/2014,20,325
8/2/2014,21,177
8/2/2014,22,81
8/2/2014,23,85
8/3/2014,0,70
8/3/2014,1,137
8/3/2014,2,243
8/3/2014,3,422
8/3/2014,4,749
8/3/2014,5,1002
8/3/2014,6,1188
8/3/2014,7,1274
8/3/2014,8,1163
8/3/2014,9,1135
8/3/2014,10,1074
8/3/2014,11,1047
8/3/2014,12,1094
8/3/2014,13,1176
8/3/2014,14,1202
8/3/2014,15,1096
8/3/2014,16,1108
8/3/2014,17,1061
8/3/2014,18,938
8/3/2014,19,526
8/3/2014,20,254
8/3/2014,21,125
8/3/2014,22,73
8/3/2014,23,41
8/4/2014,0,64
8/4/2014,1,186
8/4/2014,2,263
8/4/2014,3,432
8/4/2014,4,678
8/4/2014,5,982
8/4/2014,6,1276
8/4/2014,7,1297
8/4/2014,8,1218
8/4/2014,9,1338
8/4/2014,10,1321
8/4/2014,11,1224
8/4/2014,12,1211
8/4/2014,13,1130
8/4/2014,14,1054
8/4/2014,15,1299
8/4/2014,16,1326
8/4/2014,17,1313
8/4/2014,18,1039
8/4/2014,19,583
8/4/2014,20,315
8/4/2014,21,156
8/4/2014,22,79
8/4/2014,23,79
8/5/2014,0,75
8/5/2014,1,164
8/5/2014,2,292
8/5/2014,3,486
8/5/2014,4,787
8/5/2014,5,1102
8/5/2014,6,1315
8/5/2014,7,1274
8/5/2014,8,1268
8/5/2014,9,1406
8/5/2014,10,1416
8/5/2014,11,1426
8/5/2014,12,1281
8/5/2014,13,1197
8/5/2014,14,1221
8/5/2014,15,1244
8/5/2014,16,1312
8/5/2014,17,1367
8/5/2014,18,1021
8/5/2014,19,585
8/5/2014,20,260
8/5/2014,21,151
8/5/2014,22,86
8/5/2014,23,54
8/6/2014,0,82
8/6/2014,1,202
8/6/2014,2,347
8/6/2014,3,490
8/6/2014,4,713
8/6/2014,5,1017
8/6/2014,6,1211
8/6/2014,7,1252
8/6/2014,8,1196
8/6/2014,9,1296
8/6/2014,10,1271
8/6/2014,11,1281
8/6/2014,12,1174
8/6/2014,13,1206
8/6/2014,14,1169
8/6/2014,15,1259
8/6/2014,16,1238
8/6/2014,17,1230
8/6/2014,18,854
8/6/2014,19,545
8/6/2014,20,274
8/6/2014,21,128
8/6/2014,22,87
8/6/2014,23,58
8/7/2014,0,83
8/7/2014,1,168
8/7/2014,2,282
8/7/2014,3,508
8/7/2014,4,739
8/7/2014,5,941
8/7/2014,6,1172
8/7/2014,7,1215
8/7/2014,8,1185
8/7/2014,9,1177
8/7/2014,10,1207
8/7/2014,11,1140
8/7/2014,12,1018
8/7/2014,13,1119
8/7/2014,14,974
8/7/2014,15,1102
8/7/2014,16,1083
8/7/2014,17,1083
8/7/2014,18,766
8/7/2014,19,446
8/7/2014,20,261
8/7/2014,21,132
8/7/2014,22,73
8/7/2014,23,62
8/8/2014,0,71
8/8/2014,1,147
8/8/2014,2,303
8/8/2014,3,467
8/8/2014,4,695
8/8/2014,5,838
8/8/2014,6,1114
8/8/2014,7,1089
8/8/2014,8,961
8/8/2014,9,1169
8/8/2014,10,1181
8/8/2014,11,1120
8/8/2014,12,1103
8/8/2014,13,1069
8/8/2014,14,954
8/8/2014,15,1074
8/8/2014,16,1069
8/8/2014,17,1069
8/8/2014,18,830
8/8/2014,19,392
8/8/2014,20,243
8/8/2014,21,131
8/8/2014,22,68
8/8/2014,23,43
8/9/2014,0,64
8/9/2014,1,138
8/9/2014,2,258
8/9/2014,3,412
8/9/2014,4,587
8/9/2014,5,905
8/9/2014,6,1134
8/9/2014,7,1259
8/9/2014,8,1055
8/9/2014,9,956
8/9/2014,10,1082
8/9/2014,11,956
8/9/2014,12,931
8/9/2014,13,857
8/9/2014,14,905
8/9/2014,15,909
8/9/2014,16,1023
8/9/2014,17,931
8/9/2014,18,659
8/9/2014,19,411
8/9/2014,20,224
8/9/2014,21,113
8/9/2014,22,71
8/9/2014,23,46
8/10/2014,0,53
8/10/2014,1,120
8/10/2014,2,221
8/10/2014,3,413
8/10/2014,4,553
8/10/2014,5,768
8/10/2014,6,956
8/10/2014,7,1015
8/10/2014,8,863
8/10/2014,9,775
8/10/2014,10,848
8/10/2014,11,870
8/10/2014,12,841
8/10/2014,13,894
8/10/2014,14,1009
8/10/2014,15,1026
8/10/2014,16,1046
8/10/2014,17,946
8/10/2014,18,731
8/10/2014,19,388
8/10/2014,20,186
8/10/2014,21,84
8/10/2014,22,46
8/10/2014,23,33
8/11/2014,0,50
8/11/2014,1,112
8/11/2014,2,194
8/11/2014,3,363
8/11/2014,4,619
8/11/2014,5,924
8/11/2014,6,1080
8/11/2014,7,1064
8/11/2014,8,1011
8/11/2014,9,1115
8/11/2014,10,1112
8/11/2014,11,1201
8/11/2014,12,1174
8/11/2014,13,1003
8/11/2014,14,1037
8/11/2014,15,1093
8/11/2014,16,1150
8/11/2014,17,1117
8/11/2014,18,782
8/11/2014,19,439
8/11/2014,20,182
8/11/2014,21,106
8/11/2014,22,54
8/11/2014,23,54
8/12/2014,0,64
8/12/2014,1,167
8/12/2014,2,270
8/12/2014,3,446
8/12/2014,4,631
8/12/2014,5,858
8/12/2014,6,947
8/12/2014,7,1147
8/12/2014,8,360
8/12/2014,9,877
8/12/2014,10,1293
8/12/2014,11,1062
8/12/2014,12,1141
8/12/2014,13,1011
8/12/2014,14,1138
8/12/2014,15,1070
8/12/2014,16,1217
8/12/2014,17,1146
8/12/2014,18,819
8/12/2014,19,471
8/12/2014,20,234
8/12/2014,21,129
